director_name,genres,actor_1_name,movie_title,imdb_score,title_year
Clint Eastwood,Drama|History|War,Yuki Matsuzaki,Letters from Iwo Jima,6.4,2006
Clint Eastwood,Drama|Western,Clint Eastwood,Unforgiven,6.5,1992
Clint Eastwood,Action|Adventure|Thriller,Clint Eastwood,Firefox,6.8,1982
Clint Eastwood,Drama|Romance,Clint Eastwood,The Bridges of Madison County,6.8,1995
Clint Eastwood,Drama,Clint Eastwood,Gran Torino,6.9,2008
Clint Eastwood,Biography|Crime|Drama,Leonardo DiCaprio,J. Edgar,7.1,2011
Clint Eastwood,Crime|Drama|Mystery|Thriller,John Doman,Mystic River,7.1,2003
Clint Eastwood,Crime|Drama|Mystery|Thriller,Kevin Spacey,Midnight in the Garden of Good and Evil,7.1,1997
Clint Eastwood,Drama|Sport,Clint Eastwood,Million Dollar Baby,7.1,2004
Clint Eastwood,Biography|Drama|Music|Musical,Johnny Cannizzaro,Jersey Boys,7.3,2014
Clint Eastwood,Action|Crime|Drama|Mystery|Thriller,Clint Eastwood,Blood Work,7.4,2002
Clint Eastwood,Action|Crime|Drama|Thriller,Clint Eastwood,Absolute Power,7.4,1997
Clint Eastwood,Drama|Fantasy,Matt Damon,Hereafter,7.4,2010
Clint Eastwood,Action|Biography|Drama|History|Thriller|War,Bradley Cooper,American Sniper,7.5,2014
Clint Eastwood,Crime|Drama|Mystery|Thriller,Angelina Jolie Pitt,Changeling,7.5,2008
Clint Eastwood,Drama|History|War,Paul Walker,Flags of Our Fathers,7.5,2006
Clint Eastwood,Biography|Drama|History|Sport,Matt Damon,Invictus,7.6,2009
Clint Eastwood,Action|Adventure|Thriller,Clint Eastwood,Space Cowboys,7.7,2000
Clive Barker,Fantasy|Horror,Andrew Robinson,Hellraiser,5,1987
Cody Cameron,Animation|Comedy|Family|Fantasy|Sci-Fi,Will Forte,Cloudy with a Chance of Meatballs 2,7.8,2013
Colin Higgins,Comedy|Musical,Dolly Parton,The Best Little Whorehouse in Texas,6.8,1982
Colin Minihan,Horror,Mackenzie Gray,Grave Encounters,5.3,2011
Colin Strause,Action|Sci-Fi|Thriller,David Zayas,Skyline,6.2,2010
Colin Strause,Action|Horror|Sci-Fi|Thriller,Sam Trammell,Aliens vs. Predator: Requiem,7.3,2007
Colin Trevorrow,Comedy|Drama|Romance,Mary Lynn Rajskub,Safety Not Guaranteed,4.7,2012
Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,Jurassic World,616,2015
Collin Joseph Neal,Horror|Thriller,Julianne Gabert,"""Run",2.8,
Collin Schiffli,Drama,Kim Shaw,Animals,5.9,2014
Conor McMahon,Comedy|Horror,Peter McQuinn,Stitches,5.3,2012
Conor McPherson,Drama|Horror|Romance,Aidan Quinn,The Eclipse,5.5,2009
Corbin Bernsen,Drama,Corbin Bernsen,Rust,4,2010
Corey Grant,Comedy|Drama,Christian Keyes,Dysfunctional Friends,5.3,2012
Corey Yuen,Action|Adventure,Steve Howey,DOA: Dead or Alive,7,2006
Cory Edwards,Action|Animation|Comedy|Crime|Family,Anne Hathaway,Hoodwinked!,6.6,2005
Costa-Gavras,Biography|Crime|Drama|War,Sebastian Koch,Amen.,6.4,2002
Costa-Gavras,Crime|Drama|Thriller,Mia Kirshner,Mad City,7.4,1997
Courtney Hunt,Crime|Drama,Charlie McDermott,Frozen River,4.9,2008
Courtney Solomon,Horror|Mystery|Thriller,Sissy Spacek,An American Haunting,6.4,2005
Courtney Solomon,Action|Crime|Thriller,Rebecca Budig,Getaway,6.6,2013
Craig Bolotin,Drama|Thriller,Rosario Dawson,Light It Up,6.4,1999
Craig Brewer,Crime|Drama|Music,Isaac Hayes,Hustle & Flow,5.5,2005
Craig Brewer,Drama|Music,Justin Timberlake,Black Snake Moan,6.5,2006
Craig Gillespie,Comedy|Drama|Romance,Ryan Gosling,Lars and the Real Girl,6.4,2007
Craig Gillespie,Biography|Drama|Sport,Jon Hamm,Million Dollar Arm,6.9,2014
Craig Gillespie,Comedy|Horror,Grace Phipps,Fright Night,7,2011
Craig Gillespie,Action|Drama|History|Thriller,Michael Raymond-James,The Finest Hours,7.7,2016
Craig Johnson,Comedy|Drama,Ty Burrell,The Skeleton Twins,5,2014
Craig Mazin,Action|Comedy|Fantasy|Sci-Fi,Judy Greer,The Specials,4.9,2000
Craig Mazin,Action|Comedy|Sci-Fi|Thriller,Drake Bell,Superhero Movie,7.1,2008
Craig Moss,Comedy,Noureen DeWulf,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,5.1,2010
Craig Moss,Comedy,French Stewart,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,5.5,2013
Craig R. Baxley,Action|Comedy|Crime|Thriller,Bill Duke,Action Jackson,6,1988
Craig R. Baxley,Action|Crime|Drama|Thriller,Brian Bosworth,Stone Cold,6.8,1991
Craig Zobel,Biography|Crime|Drama|Thriller,Dreama Walker,Compliance,4.1,2012
Cristian Mungiu,Drama,Anamaria Marinca,"""4 Months",4.8,590000
Curtis Hanson,Comedy|Drama|Family,Tom Cruise,Losin' It,6,1983
Curtis Hanson,Comedy|Drama,Robert Downey Jr.,Wonder Boys,7.1,2000
Curtis Hanson,Crime|Drama|Mystery|Thriller,Kevin Spacey,L.A. Confidential,7.2,1997
Curtis Hanson,Action|Adventure|Crime|Thriller,Meryl Streep,The River Wild,7.3,1994
Curtis Hanson,Drama|Music,Mekhi Phifer,8 Mile,7.3,2002
Curtis Hanson,Drama|Romance|Sport,Robert Downey Jr.,Lucky You,7.5,2007
Cyrus Nowrasteh,Drama,Clive Russell,The Young Messiah,6.6,2016
D. Stevens,Drama|Thriller,Magi Avila,The Pet,4.8,2006
D.J. Caruso,Crime|Drama|Mystery|Thriller,Adam Goldberg,The Salton Sea,6.6,2002
D.J. Caruso,Drama|Mystery|Thriller,Sarah Roemer,Disturbia,6.7,2007
D.J. Caruso,Drama|Mystery|Thriller,Sarah Roemer,Disturbia,7.2,2007
D.J. Caruso,Action|Adventure|Sci-Fi|Thriller,Alex Pettyfer,I Am Number Four,7.4,2011
D.J. Caruso,Action|Mystery|Thriller,Rosario Dawson,Eagle Eye,7.8,2008
D.W. Griffith,Drama|History|War,Lillian Gish,Intolerance: Love's Struggle Throughout the Ages,4.3,1916
Dagur Kri,Drama,Alice Olivia Clarke,The Good Heart,5.7,2009
Daisy von Scherler Mayer,Comedy|Music|Romance,Michael McKean,The Guru,6.3,2002
Daisy von Scherler Mayer,Comedy|Romance,LL Cool J,Woo,6.4,1998
Damian Nieman,Crime|Thriller,Glenn Plummer,Shade,6,2003
Damien Chazelle,Drama|Music,J.K. Simmons,Whiplash,5.6,2014
Damien Dante Wayans,Action|Comedy|Music,Damon Wayans Jr.,Dance Flick,6.9,2009
Damien O'Donnell,Comedy|Drama,Archie Panjabi,East Is East,5.6,1999
Damir Catic,Horror,Nichole Ceballos,Her Cry: La Llorona Investigation,2.8,2013
Damon Santostefano,Comedy|Romance,Matthew Perry,Three to Tango,6.7,1999
Dan Curtis,Fantasy|Romance,Jennifer Jason Leigh,The Love Letter,4,1998
Dan Curtis,Fantasy|Romance,Jennifer Jason Leigh,The Love Letter,6.5,1998
Dan Cutforth,Documentary|Music,Lexie Contursi,Katy Perry: Part of Me,6.3,2012
Dan Fogelman,Comedy|Drama|Music,Al Pacino,Danny Collins,6.2,2015
Dan Gilroy,Crime|Drama|Thriller,Jake Gyllenhaal,Nightcrawler,6.1,2014
Dan Harris,Comedy|Drama,Kip Pardue,Imaginary Heroes,6.2,2004
Dan Ireland,Comedy|Drama|Romance,Salma Hayek,The Velocity of Gary,5.7,1998
Dan Mazer,Comedy,Robert De Niro,Dirty Grandpa,6.3,2016
Dan O'Bannon,Comedy|Horror|Sci-Fi,Linnea Quigley,The Return of the Living Dead,5.7,1985
Dan O'Bannon,Comedy|Horror|Sci-Fi,Linnea Quigley,The Return of the Living Dead,6,1985
Dan Perri,Comedy|Drama|Mystery|Romance|Thriller,Travis Myers,Sharkskin,5.4,2015
Dan Reed,Thriller,Danny Dyer,Closure,3.3,2007
Dan Rush,Comedy|Drama,Will Ferrell,Everything Must Go,5.8,2010
Dan Scanlon,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,Monsters University,530,2013
Dan Trachtenberg,Drama|Horror|Mystery|Sci-Fi|Thriller,Bradley Cooper,10 Cloverfield Lane,5.9,2016
Dan Zukovic,Comedy|Drama,Yul Vazquez,The Last Big Thing,4.9,1996
Daniel Algrant,Crime|Drama|Mystery,Al Pacino,People I Know,6.7,2002
Daniel Barber,Action|Crime|Drama|Thriller,Joseph Gilgun,Harry Brown,6.1,2009
Daniel Barnz,Drama,Holly Hunter,Won't Back Down,6.6,2012
Daniel Barnz,Drama|Fantasy|Romance,Alex Pettyfer,Beastly,6.6,2011
Daniel Columbie,Action|Crime|Drama,Keri Maletto,Amidst the Devil's Wings,4.1,2014
Daniel Davila,Drama,Martin Landau,Harrison Montgomery,4.7,2008
Daniel Espinosa,Action|Crime|Drama|Thriller,Fabian Bolin,Easy Money,5.7,2010
Daniel Espinosa,Crime|Drama|Thriller,Tom Hardy,Child 44,7.4,2015
Daniel Espinosa,Action|Crime|Mystery|Thriller,Denzel Washington,Safe House,7.9,2012
Daniel Hsia,Comedy|Drama|Romance,Alan Ruck,Shanghai Calling,,2012
Daniel Lee,Action|Drama|History|War,Andy Lau,Three Kingdoms: Resurrection of the Dragon,6.7,2008
Daniel Lee,Action|Adventure|Drama|History,Si Won Choi,Dragon Blade,7.6,2015
Daniel Mellitz,Comedy|Drama,Corbin Bernsen,The Naked Ape,3.1,2006
Daniel Myrick,Horror,Heather Donahue,The Blair Witch Project,4.6,1999
Daniel Petrie Jr.,Drama|Thriller,Chris Brochu,Dawn Patrol,5.6,2014
Daniel Sackheim,Crime|Drama|Mystery|Thriller,Chris Noth,The Glass House,6.8,2001
Daniel Schechter,Comedy,Lena Dunham,Supporting Characters,3.2,2012
Daniel Stamm,Drama|Horror|Thriller,Caleb Landry Jones,The Last Exorcism,5.3,2010
Daniel Taplitz,Comedy|Romance,Jennifer Esposito,Breakin' All the Rules,6.1,2004
Daniele Luchetti,Biography,Maximilian Dirr,Chiamatemi Francesco - Il Papa della gente,6.5,2015
Danny Boyle,Crime|Drama|Mystery|Thriller,Rosario Dawson,Trance,4.8,2013
Danny Boyle,Drama,Kelly Macdonald,Trainspotting,5.6,1996
Danny Boyle,Drama|Horror|Sci-Fi|Thriller,Noah Huntley,28 Days Later...,6.1,2002
Danny Boyle,Drama|Romance,Anil Kapoor,Slumdog Millionaire,6.4,2008
Danny Boyle,Crime|Drama|Mystery|Thriller,Rosario Dawson,Trance,6.5,2013
Danny Boyle,Adventure|Biography|Drama|Thriller,James Franco,127 Hours,6.6,2010
Danny Boyle,Biography|Drama,Kate Winslet,Steve Jobs,6.6,2015
Danny Boyle,Adventure|Sci-Fi|Thriller,Chris Evans,Sunshine,7.2,2007
Danny Boyle,Adventure|Drama|Thriller,Leonardo DiCaprio,The Beach,7.4,2000
Danny Cannon,Horror|Mystery,Muse Watson,I Still Know What You Did Last Summer,6.8,1998
Danny Cannon,Drama|Romance|Sport,Sean Pertwee,Goal! The Dream Begins,7.1,2005
Danny DeVito,Biography|Crime|Drama,Frank Whaley,Hoffa,7.1,1992
Danny DeVito,Comedy,Justin Theroux,Duplex,7.2,2003
Danny DeVito,Comedy|Crime|Drama|Thriller,Robin Williams,Death to Smoochy,7.4,2002
Danny Leiner,Adventure|Comedy,Ethan Embry,Harold & Kumar Go to White Castle,6.2,2004
Danny Leiner,Comedy|Mystery,Jennifer Garner,"""Dude",6.4,13000000
Danny Pang,Action,Louis Koo,Out of Inferno,6.6,2013
Danny Pang,Action|Crime|Thriller,Nicolas Cage,Bangkok Dangerous,7.3,2008
Danny Perez,Horror,Natasha Lyonne,Antibirth,5.4,2016
Danny Provenzano,Crime|Drama,Vincent Pastore,This Thing of Ours,5.3,2003
Danny Steinmann,Horror|Mystery|Thriller,Tiffany Helm,Friday the 13th: A New Beginning,5.4,1985
Dany Boon,Comedy|Romance,Dany Boon,Welcome to the Sticks,6.5,2008
Darin Scott,Drama|Horror|Mystery|Thriller,Julian Morris,Something Wicked,5.5,2014
Dario Argento,Horror,John Amos,Two Evil Eyes,6.1,1990
Darnell Martin,Biography|Drama|Music,Cedric the Entertainer,Cadillac Records,6.3,2008
Darrell Roodt,Biography|Drama|History,Jennifer Hudson,Winnie Mandela,6.5,2011
Darren Aronofsky,Drama|Mystery|Thriller,Mark Margolis,Pi,3.3,1998
Darren Aronofsky,Drama,Ellen Burstyn,Requiem for a Dream,5.8,2000
Darren Aronofsky,Drama|Sport,Mark Margolis,The Wrestler,6,2008
Darren Aronofsky,Drama|Thriller,Natalie Portman,Black Swan,6.4,2010
Darren Aronofsky,Drama|Sci-Fi,Hugh Jackman,The Fountain,7.1,2006
Darren Aronofsky,Action|Adventure|Drama,Anthony Hopkins,Noah,8.3,2014
Darren Grant,Comedy|Drama|Romance,Cicely Tyson,Diary of a Mad Black Woman,5.9,2005
Darren Lynn Bousman,Horror|Musical,Paul Sorvino,Alleluia! The Devil's Carnival,4.4,2016
Darren Lynn Bousman,Horror|Mystery,Emmanuelle Vaugier,Saw II,5.9,2005
Darren Lynn Bousman,Horror|Musical|Sci-Fi,Alexa PenaVega,Repo! The Genetic Opera,6.1,2008
Darren Lynn Bousman,Horror|Mystery,Costas Mandylor,Saw III,6.3,2006
Darren Lynn Bousman,Horror|Mystery,Costas Mandylor,Saw IV,6.3,2007
Darren Stein,Comedy|Drama,Frances Bay,Sparkler,4.9,1997
Darren Stein,Comedy|Crime|Thriller,Julie Benz,Jawbreaker,5.5,1999
Daryl Wein,Romance,Zoe Lister-Jones,Breaking Upwards,2.3,2009
Daston Kalili,Thriller,Daston Kalili,Insomnia Manica,4.4,2005
Dave Borthwick,Adventure|Animation|Comedy|Family|Fantasy,Jimmy Fallon,Doogal,6.7,2006
Dave Carroll,Documentary,Chris 'Wonder' Schoeck,Bending Steel,3,2013
Dave Green,Adventure|Family|Sci-Fi,Teo Halm,Earth to Echo,6.4,2014
Dave Green,Action|Adventure|Comedy|Sci-Fi,Stephen Amell,Teenage Mutant Ninja Turtles: Out of the Shadows,8.1,2016
Dave McKean,Adventure|Fantasy,Stephanie Leonidas,Mirrormask,5.7,2005
Dave Meyers,Comedy|Drama,Eddie Griffin,Foolish,5.2,1999
Dave Payne,Horror|Thriller,Mircea Monroe,No Man's Land: The Rise of Reeker,5.3,2008
Dave Rodriguez,Comedy|Drama,Chazz Palminteri,Once Upon a Time in Queens,5.2,2013
David Anspaugh,Drama|History|Sport,Gerard Butler,The Game of Their Lives,6.7,2005
David Atkins,Comedy|Crime|Drama|Thriller,Chelcie Ross,Novocaine,5.9,2001
David Ayer,Action|Crime|Drama|Thriller,Mireille Enos,Sabotage,2.7,2014
David Ayer,Action|Crime|Drama|Thriller,J.K. Simmons,Harsh Times,5.4,2005
David Ayer,Crime|Drama|Thriller,Jake Gyllenhaal,End of Watch,6.5,2012
David Ayer,Action|Crime|Drama|Thriller,Keanu Reeves,Street Kings,6.7,2008
David Ayer,Action|Crime|Drama|Thriller,Mireille Enos,Sabotage,7.1,2014
David Ayer,Action|Drama|War,Brad Pitt,Fury,7.8,2014
David Ayer,Action|Adventure|Comedy|Sci-Fi,Will Smith,Suicide Squad,8.9,2016
David Bowers,Comedy|Family,Zachary Gordon,Diary of a Wimpy Kid: Rodrick Rules,6.6,2011
David Bowers,Comedy|Family,Zachary Gordon,Diary of a Wimpy Kid: Dog Days,6.8,2012
David Bowers,Action|Animation|Comedy|Family|Sci-Fi,Nicolas Cage,Astro Boy,7.6,2009
David Bowers,Adventure|Animation|Comedy|Family,Hugh Jackman,Flushed Away,8.4,2006
David Boyd,Drama|Sport,Vivica A. Fox,Home Run,5.1,2013
David Caffrey,Adventure|Comedy|Drama,Marley Shelton,Grand Theft Parsons,5.1,2003
David Carson,Action|Adventure|Mystery|Sci-Fi|Thriller,LeVar Burton,Star Trek: Generations,7.2,1994
David Cronenberg,Horror|Mystery|Sci-Fi|Thriller,Debbie Harry,Videodrome,5.9,1983
David Cronenberg,Drama|Mystery|Thriller,Miranda Richardson,Spider,6.2,2002
David Cronenberg,Horror|Sci-Fi|Thriller,Tom Skerritt,The Dead Zone,6.2,1983
David Cronenberg,Biography|Drama|Thriller,Michael Fassbender,A Dangerous Method,6.7,2011
David Cronenberg,Horror|Sci-Fi|Thriller,Jennifer Jason Leigh,eXistenZ,6.8,1999
David Cronenberg,Crime|Drama|Thriller,Viggo Mortensen,A History of Violence,7.1,2005
David Cronenberg,Crime|Mystery|Thriller,Viggo Mortensen,Eastern Promises,7.4,2007
David Cross,Comedy|Drama,Jason Ritter,Hits,4.8,2014
David DeCoteau,Horror,Maureen McCormick,Snow White: A Deadly Summer,4.8,2012
David DeCoteau,Western,William McNamara,Doc Holliday's Revenge,4.8,2014
David Dobkin,Comedy|Crime,Janeane Garofalo,Clay Pigeons,6.1,1998
David Dobkin,Action|Adventure|Comedy,Fann Wong,Shanghai Knights,7.4,2003
David Dobkin,Crime|Drama,Robert Downey Jr.,The Judge,7.4,2014
David Dobkin,Comedy|Fantasy,Ryan Reynolds,The Change-Up,7.5,2011
David Duchovny,Comedy|Drama,Robin Williams,House of D,5.3,2004
David E. Talbert,Comedy,Djimon Hounsou,Baggage Claim,6.1,2013
David F. Sandberg,Horror,Billy Burke,Lights Out,5.9,2016
David Fincher,Crime|Drama|Mystery|Thriller,Morgan Freeman,Se7en,7.1,1995
David Fincher,Biography|Drama,Andrew Garfield,The Social Network,7.3,2010
David Fincher,Crime|Drama|Thriller,Kristen Stewart,Panic Room,7.4,2002
David Fincher,Drama|Mystery|Thriller,Deborah Kara Unger,The Game,7.4,1997
David Fincher,Action|Horror|Sci-Fi,Charles S. Dutton,Alien 3,7.5,1992
David Fincher,Crime|Drama|Mystery|Thriller,Patrick Fugit,Gone Girl,7.6,2014
David Fincher,Drama,Brad Pitt,Fight Club,7.6,1999
David Fincher,Crime|Drama|History|Mystery|Thriller,Robert Downey Jr.,Zodiac,7.9,2007
David Fincher,Crime|Drama|Mystery|Thriller,Robin Wright,The Girl with the Dragon Tattoo,8,2011
David Fincher,Drama|Fantasy|Romance,Brad Pitt,The Curious Case of Benjamin Button,8.6,2008
David Frankel,Comedy|Drama|Romance,Meryl Streep,Hope Springs,7.1,2012
David Frankel,Comedy|Drama|Romance,Meryl Streep,The Devil Wears Prada,7.2,2006
David Frankel,Comedy,Joel McHale,The Big Year,7.3,2011
David Frankel,Comedy|Drama|Family,Eric Dane,Marley & Me,7.6,2008
David G. Evans,Drama,Michael Joiner,The Grace Card,3.8,2010
David Gelb,Horror|Sci-Fi|Thriller,Olivia Wilde,The Lazarus Effect,5.9,2015
David Gordon Green,Drama,Paul Schneider,George Washington,2.9,2000
David Gordon Green,Drama|Romance,Zooey Deschanel,All the Real Girls,4.9,2003
David Gordon Green,Drama|Romance,Michael Angarano,Snow Angels,5.2,2007
David Gordon Green,Drama,Nicolas Cage,Joe,5.7,2013
David Gordon Green,Action|Comedy|Crime,James Franco,Pineapple Express,6.9,2008
David Gordon Green,Comedy,Ari Graynor,The Sitter,6.9,2011
David Gordon Green,Comedy|Drama,Dominic Flores,Our Brand Is Crisis,7,2015
David Gordon Green,Adventure|Comedy|Fantasy,Natalie Portman,Your Highness,7.4,2011
David Hackl,Action|Horror|Thriller,Scott Glenn,Into the Grizzly Maze,6.2,2015
David Hackl,Horror|Mystery,Julie Benz,Saw V,6.3,2008
David Hayter,Action|Horror,Jason Momoa,Wolves,6.6,2014
David Hewlett,Comedy,Christopher Judge,A Dog's Breakfast,3.4,2007
David Hewlett,Comedy,Christopher Judge,A Dog's Breakfast,3.4,2007
David Hunt,Horror,Matthew Alan,Living Dark: The Story of Ted the Caver,5.3,2013
David Jacobson,Drama|Romance|Thriller,Hunter Parrish,Down in the Valley,6.1,2005
David Kellogg,Action|Adventure|Comedy|Family|Sci-Fi,Matthew Broderick,Inspector Gadget,7.8,1999
David Koepp,Horror|Mystery|Thriller,Illeana Douglas,Stir of Echoes,6.3,1999
David Koepp,Comedy|Drama|Fantasy|Romance,Aasif Mandvi,Ghost Town,6.7,2008
David Koepp,Action|Crime|Thriller,Joseph Gordon-Levitt,Premium Rush,7.1,2012
David Koepp,Mystery|Thriller,Johnny Depp,Secret Window,7.3,2004
David Koepp,Action|Comedy|Mystery|Romance,Johnny Depp,Mortdecai,7.5,2015
David LaChapelle,Documentary|Music,Kevin Scott Richardson,Rize,4.7,2005
David Lam,Action|Crime,Michael Wong,Z Storm,6,2014
David Lean,Adventure|Drama|War,William Holden,The Bridge on the River Kwai,5.6,1957
David Lean,Drama|Romance|War,Julie Christie,Doctor Zhivago,6.3,1965
David Lean,Adventure|Biography|Drama|History|War,Claude Rains,Lawrence of Arabia,6.5,1962
David Lean,Adventure|Drama|History,Richard Wilson,A Passage to India,7,1984
David Leland,Drama|Romance|War,Anna Friel,The Land Girls,6.1,1998
David Leland,Adventure|Comedy|History|Romance,Hayden Christensen,Virgin Territory,7.2,2007
David Lowery,Adventure|Family|Fantasy,Bryce Dallas Howard,Pete's Dragon,6.2,2016
David Lynch,Fantasy|Horror|Sci-Fi,Hal Landon Jr.,Eraserhead,3.4,1977
David Lynch,Biography|Drama,Anthony Hopkins,The Elephant Man,5.9,1980
David Lynch,Biography|Drama,Sissy Spacek,The Straight Story,6.2,1999
David Lynch,Drama|Mystery|Thriller,Naomi Watts,Mulholland Drive,6.5,2001
David Lynch,Action|Adventure|Sci-Fi,Virginia Madsen,Dune,7.3,1984
David M. Matthews,Crime|Drama|Thriller,Essence Atkins,N-Secure,5.2,2010
David Mamet,Drama|Sport,Alice Braga,Redbelt,6,2008
David Mamet,Drama|Mystery|Thriller,Ben Gazzara,The Spanish Prisoner,8,1997
David McNally,Comedy|Drama|Music|Romance,Adam Garcia,Coyote Ugly,7.3,2000
David McNally,Action|Adventure|Comedy|Crime,Estella Warren,Kangaroo Jack,7.6,2003
David Mirkin,Comedy|Crime|Romance,Sarah Silverman,Heartbreakers,7.2,2001
David Moreau,Horror|Mystery,Chlo Grace Moretz,The Eye,6.4,2008
David Nixon,Drama|Family,Robyn Lively,Letters to God,5.5,2010
David Nutter,Horror|Mystery|Sci-Fi|Thriller,Bruce Greenwood,Disturbing Behavior,6.5,1998
David O. Russell,Comedy,Lily Tomlin,Flirting with Disaster,6,1996
David O. Russell,Biography|Drama|Sport,Christian Bale,The Fighter,6.3,2010
David O. Russell,Comedy,Naomi Watts,I Heart Huckabees,6.8,2004
David O. Russell,Comedy|Drama|Romance,Jennifer Lawrence,Silver Linings Playbook,6.8,2012
David O. Russell,Comedy|Romance,Jake Gyllenhaal,Accidental Love,6.9,2015
David O. Russell,Crime|Drama,Jennifer Lawrence,American Hustle,7.3,2013
David O. Russell,Action|Adventure|Comedy|Drama|War,Judy Greer,Three Kings,7.4,1999
David O. Russell,Biography|Comedy|Drama,Jennifer Lawrence,Joy,7.6,2015
David Oelhoffen,Drama|War|Western,Viggo Mortensen,Far from Men,6.1,2014
David Palmer,Action|Comedy|Romance,Bradley Cooper,Hit and Run,6.8,2012
David Pastor,Drama|Horror|Sci-Fi|Thriller,Christopher Meloni,Carriers,7.8,2009
David R. Ellis,Action|Adventure|Crime|Drama|Thriller,Lin Shaye,Snakes on a Plane,6.8,2006
David R. Ellis,Horror|Thriller,Chris Zylka,Shark Night 3D,6.9,2011
David R. Ellis,Horror|Thriller,Sarah Carter,Final Destination 2,6.9,2003
David R. Ellis,Action|Adventure|Crime|Drama|Thriller,Lin Shaye,Snakes on a Plane,7.1,2006
David R. Ellis,Action|Crime|Thriller,Richard Burgi,Cellular,7.3,2004
David R. Ellis,Horror,Krista Allen,The Final Destination,7.3,2009
David Ray,Drama|Fantasy|Romance,Nicole Muoz,Fetching Cody,5.2,2005
David Raynr,Biography|Comedy|Documentary,Nancy O'Dell,Martin Lawrence Live: Runteldat,5.6,2002
David Raynr,Comedy,Donald Faison,Trippin',5.6,1999
David Raynr,Comedy|Drama|Romance,James Franco,Whatever It Takes,6.5,2000
David Robert Mitchell,Horror|Mystery,Maika Monroe,It Follows,5.4,2014
David S. Goyer,Drama|Fantasy|Horror|Mystery|Thriller,Gary Oldman,The Unborn,4.7,2009
David S. Goyer,Drama|Fantasy|Horror|Mystery|Thriller,Gary Oldman,The Unborn,6.6,2009
David S. Goyer,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,Ryan Reynolds,Blade: Trinity,7.6,2004
David S. Ward,Comedy|Sport,Corbin Bernsen,Major League,6.3,1989
David Schwimmer,Crime|Drama|Thriller,Noah Emmerich,Trust,5.7,2010
David Silverman,Adventure|Animation|Comedy,Albert Brooks,The Simpsons Movie,7.7,2007
David Sington,Documentary|History,John F. Kennedy,In the Shadow of the Moon,5.3,2007
David Slade,Crime|Drama|Thriller,Odessa Rae,Hard Candy,4.8,2005
David Slade,Horror,Danny Huston,30 Days of Night,7,2007
David Slade,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: Eclipse,7.7,2010
David Soren,Adventure|Animation|Comedy|Family|Sport,Ryan Reynolds,Turbo,8.3,2013
David Twohy,Adventure|Mystery|Thriller,Chris Hemsworth,A Perfect Getaway,6.4,2009
David Twohy,Horror|Sci-Fi,Vin Diesel,Pitch Black,6.8,2000
David Twohy,Action|Sci-Fi|Thriller,Vin Diesel,Riddick,7.2,2013
David Twohy,Action|Adventure|Sci-Fi|Thriller,Vin Diesel,The Chronicles of Riddick,8.2,2004
David Wain,Comedy,Christopher Meloni,They Came Together,5.5,2014
David Wain,Comedy|Romance,Jon Hamm,The Ten,5.9,2007
David Wain,Comedy,Joe Lo Truglio,Role Models,7,2008
David Wain,Comedy,Justin Theroux,Wanderlust,7.1,2012
David Webb Peoples,Action|Sci-Fi|Sport,Delroy Lindo,The Blood of Heroes,6.1,1989
David Winning,Sci-Fi,Ashanti,Mutant World,5.2,2014
David Winters,Family|Musical,Gary Daniels,Dancin' It's On,6.3,2015
David Worth,Horror|Thriller,Jessica Szohr,House at the End of the Drive,5.1,2014
David Yates,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan,8.4,2016
David Yates,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Harry Potter and the Order of the Phoenix,8.5,2007
David Yates,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan,9.3,2016
David Yates,Adventure|Family|Fantasy|Mystery,Alan Rickman,Harry Potter and the Half-Blood Prince,1000,2009
David Zucker,Comedy|Romance,Carmen Electra,My Boss's Daughter,6.4,2003
David Zucker,Comedy|Fantasy,Chriss Anglin,An American Carol,6.7,2008
David Zucker,Comedy|Crime,George Kennedy,The Naked Gun 2: The Smell of Fear,6.8,1991
David Zucker,Comedy,Beau Mirchoff,Scary Movie 4,7.3,2006
David Zucker,Comedy,Regina Hall,Scary Movie 3,7.4,2003
Davis Guggenheim,Documentary,Billy West,An Inconvenient Truth,5,2006
Davis Guggenheim,Biography|Drama|Sport,Emma Bell,Gracie,6.1,2007
Davis Guggenheim,Drama|Mystery|Thriller,Norman Reedus,Gossip,6.4,2000
Dean DeBlois,Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,Tia Carrere,Lilo & Stitch,7.9,2002
Dean DeBlois,Action|Adventure|Animation|Comedy|Family|Fantasy,Gerard Butler,How to Train Your Dragon 2,8.3,2014
Dean DeBlois,Adventure|Animation|Family|Fantasy,Gerard Butler,How to Train Your Dragon,8.7,2010
Dean Israelite,Sci-Fi|Thriller,Gary Weeks,Project Almanac,6.3,2015
